Sample Name,Oxygen,Temperature,Nitrite,Ammonia,Chl-a,Nitrate,Salinity
s5_Stn1Cast1840m02um,199,27.9427,0,28.32,4.84E-01,0.18865526,33.7867
s5_Stn1Cast1840m22um,199,27.9427,0,28.32,4.84E-01,0.18865526,33.7867
s5_Stn1Cast1840m2um,199,27.9427,0,28.32,4.84E-01,0.18865526,33.7867
s4_Stn1Cast1470m02um,17.357,17.9214,0.28,3.98,8.92E-01,18.73363904,34.6098
s4_Stn1Cast1470m22um,17.357,17.9214,0.28,3.98,8.92E-01,18.73363904,34.6098
s4_Stn1Cast1470m2um,17.357,17.9214,0.28,3.98,8.92E-01,18.73363904,34.6098
s3_Stn1Cast683m02um,0.26,15.5559,0.04,1.72,3.20E+00,29.50687358,34.714
s3_Stn1Cast683m22um,0.26,15.5559,0.04,1.72,3.20E+00,29.50687358,34.714
s3_Stn1Cast683m2um,0.26,15.5559,0.04,1.72,3.20E+00,29.50687358,34.714
s2_Stn1Cast14110m02um,-0.33,13.5411,0.03,2.14,1.27E+00,29.9025073,34.7803
s2_Stn1Cast14110m22um,-0.33,13.5411,0.03,2.14,1.27E+00,29.9025073,34.7803
s2_Stn1Cast14110m2um,-0.33,13.5411,0.03,2.14,1.27E+00,29.9025073,34.7803
s1_Stn1Cast6120m02um,0.34,12.8816,0,3.56,9.44E-01,30.74610301,34.8018
s1_Stn1Cast6120m22um,0.34,12.8816,0,3.56,9.44E-01,30.74610301,34.8018
s1_Stn1Cast6120m2um,0.34,12.8816,0,3.56,9.44E-01,30.74610301,34.8018
s5_Stn2Cast5930m02um,204,27.3433,0.01,2.58,3.18E+02,0.04344845,33.984
s5_Stn2Cast5930m22um,204,27.3433,0.01,2.58,3.18E+02,0.04344845,33.984
s5_Stn2Cast5930m2um,204,27.3433,0.01,2.58,3.18E+02,0.04344845,33.984
s4_Stn2Cast3190m02um,4,16.6882,0.06,9.21,4.25E+00,26.64789895,34.6375
s4_Stn2Cast3190m22um,4,16.6882,0.06,9.21,4.25E+00,26.64789895,34.6375
s4_Stn2Cast3190m2um,4,16.6882,0.06,9.21,4.25E+00,26.64789895,34.6375
s3_Stn2Cast47113m02um,0.237,15.3675,0,8.44,7.20E-01,27.12785582,34.7163
s3_Stn2Cast47113m22um,0.237,15.3675,0,8.44,7.20E-01,27.12785582,34.7163
s3_Stn2Cast47113m2um,0.237,15.3675,0,8.44,7.20E-01,27.12785582,34.7163
s2_Stn2Cast55120m02um,-0.73,13.6934,0.54,14.61,4.12E-01,27.27729686,34.7577
s2_Stn2Cast55120m22um,-0.73,13.6934,0.54,14.61,4.12E-01,27.27729686,34.7577
s2_Stn2Cast55120m2um,-0.73,13.6934,0.54,14.61,4.12E-01,27.27729686,34.7577
s1_Stn2Cast59900m02um,2.019,5.0259,0,1.11,0.00E+00,45.88333307,34.5419
s1_Stn2Cast59900m22um,2.019,5.0259,0,1.11,0.00E+00,45.88333307,34.5419
s1_Stn2Cast59900m2um,2.019,5.0259,0,1.11,0.00E+00,45.88333307,34.5419
s6_Stn3Cast9310m02um,200,26.9057,0.23,525.64,1.00E+01,3.87461777,34.6155
s6_Stn3Cast9310m22um,200,26.9057,0.23,525.64,1.00E+01,3.874618,34.6155
s6_Stn3Cast9310m2um,200,26.9057,0.23,525.64,1.00E+01,3.874618,34.6155
s5_Stn3Cast7633m02um,1.288,16.9269,0.11,4.55,4.25E+00,25.91761903,34.6794
s5_Stn3Cast7633m22um,1.288,16.9269,0.11,4.55,4.25E+00,25.91761903,34.6794
s5_Stn3Cast7633m2um,1.288,16.9269,0.11,4.55,4.25E+00,25.91761903,34.6794
s4_Stn3Cast9740m02um,18.62,18.172,0.31,0.01,5.02E+00,24.98579316,34.6141
s4_Stn3Cast9740m22um,18.62,18.172,0.31,0.01,5.02E+00,24.98579316,34.6141
s4_Stn3Cast9740m2um,18.62,18.172,0.31,0.01,5.02E+00,24.98579316,34.6141
s3_Stn3Cast7245m02um,-0.445,16.1866,0.19,3.38,2.96E+00,24.64951422,34.7023
s3_Stn3Cast7245m22um,-0.445,16.1866,0.19,3.38,2.96E+00,24.64951422,34.7023
s3_Stn3Cast7245m2um,-0.445,16.1866,0.19,3.38,2.96E+00,24.64951422,34.7023
s2_Stn3Cast9370m02um,-0.714,15.3996,2.16,4.87,1.27E+00,25.77273705,34.7677
s2_Stn3Cast9370m22um,-0.714,15.3996,2.16,4.87,1.27E+00,25.77273705,34.7677
s2_Stn3Cast9370m2um,-0.714,15.3996,2.16,4.87,1.27E+00,25.77273705,34.7677
s1_Stn3Cast811000m02um,8.616,4.738,0,5.56,0.00E+00,31.49601288,34.5579
s1_Stn3Cast811000m22um,8.616,4.738,0,5.56,0.00E+00,31.49601288,34.5579
s1_Stn3Cast811000m2um,8.616,4.738,0,5.56,0.00E+00,31.49601288,34.5579
